"GEOID","NAME","LSAD","LAND_AREA_M2","WATER_AREA_M2"
"0669112","Santa Cruz","25",32996599,7998548
"0680994","Twentynine Palms","25",152157672,0
"0681344","Upland","25",40363418,86983
"0687042","Yucaipa","25",73199449,0
"0687056","Yucca Valley","43",103161847,0
"0655520","Paradise","43",47439306,34214
"0616224","Corcoran","25",19315216,0
"0600296","Adelanto","25",136923866,41151
"0659962","Redlands","25",93292254,673021
"0611194","Carlsbad","25",97832258,3378580
"0650398","National City","25",19030795,4772029
"0670224","Santee","25",42831662,470863
"0609780","California City","25",527349258,220795
"0677574","Taft","25",39552120,0
"0621230","Eastvale","25",32823713,1143241
"0606434","Big Bear Lake","25",16164304,474774
"0624680","Fontana","25",111552124,0
"0660466","Rialto","25",62393481,0
"0672506","Solana Beach","25",8841642,270081
"0650076","Murrieta","25",87054765,93770
"0677392","Sutter Creek","25",6988164,0
"0603064","Atascadero","25",67524871,161112
"0631393","Grover Beach","25",5988133,11431
"0657414","Pismo Beach","25",9057590,25582378
"0602868","Arroyo Grande","25",15382200,0
"0673108","South Lake Tahoe","25",26389494,16682394
"0614218","Clovis","25",66793311,309836
"0627000","Fresno","25",299407784,3127480
"0613945","Clearlake","25",26235110,1167608
"0602112","Angels","25",9407811,12740
"0601444","Alturas","25",7345639,46987
"0686972","Yuba City","25",38797488,201005
"0624638","Folsom","25",72210787,5879392
"0636882","Isleton","25",1138589,133509
"0659444","Rancho Cordova","25",89533866,795317
"0648872","Monterey","25",22390414,9365025
"0601640","American Canyon","25",15763118,102525
"0609892","Calistoga","25",6673845,46827
"0686930","Yountville","25",3852452,6876
"0608758","Buellton","25",4097750,1684
"0602252","Antioch","25",75552859,1995937
"0616000","Concord","25",79130630,0
"0617988","Danville","43",46821256,0
"0646114","Martinez","25",32753076,2599576
"0657456","Pittsburg","25",45780276,5359381
"0657764","Pleasant Hill","25",18324535,3158
"0668378","San Ramon","25",51953239,88389
"0683346","Walnut Creek","25",51179061,31195
"0611446","Carpinteria","25",6704026,17313119
"0631414","Guadalupe","25",3394103,10948
"0619318","Dinuba","25",16859536,0
"0623126","Exeter","25",6373810,0
"0623616","Farmersville","25",5701060,0
"0641712","Lindsay","25",7055435,0
"0664224","Salinas","25",60903234,83122
"0600394","Agoura Hills","25",20190547,55687
"0602896","Artesia","25",4196986,0
"0647766","Milpitas","25",34919473,99377
"0618506","Del Mar","25",4446743,141302
"0606560","Biggs","25",2317099,0
"0631260","Gridley","25",5404056,0
"0603274","Avalon","25",7473920,12351270
"0604982","Bellflower","25",15843604,130870
"0604996","Bell Gardens","25",6368687,14400
"0613756","Claremont","25",34537097,352454
"0614974","Commerce","25",16921570,3306
"0617498","Cudahy","25",3046449,131179
"0622230","El Monte","25",24752904,221652
"0672576","Solvang","25",6281307,3053
"0630378","Goleta","25",20339515,187022
"0642524","Lompoc","25",30103861,201559
"0669070","Santa Barbara","25",50523520,58265316
"0669196","Santa Maria","25",59078451,1575636
